交易对,方向,开仓时间,开仓价,平仓时间,平仓价,数量,收益,收益率,手续费,原因,仓位,累计收益,实际杠杆,当前回撤,持仓天数,当前收益(占权益),加仓次数
WIF-USDT-SWAP,多,2025-09-13 08:00:00,0.96259625,2025-09-13 13:00:00,0.96200379,4247.730381,-7.42,-0.0006,4.91,移动止盈/止损,0.3042,3326.51,0.3042,-0.0363,0.2083,-0.000557,0
BONK-USDT-SWAP,多,2025-09-13 12:00:00,0.02686469,2025-09-13 16:00:00,0.02613639,117171.491224,-89.06,-0.0066,3.73,移动止盈/止损,0.2330,3237.44,0.2330,-0.0428,0.1667,-0.006728,0
AVAX-USDT-SWAP,多,2025-09-18 12:00:00,33.37233690,2025-09-18 17:00:00,34.30456920,98.338891,87.68,0.0065,3.99,移动止盈/止损,0.2434,3325.13,0.2434,-0.0364,0.2083,0.006580,0
BNB-USDT-SWAP,多,2025-09-16 20:00:00,976.01657816,2025-09-18 18:00:00,988.15117500,11.441766,125.36,0.0095,13.48,移动止盈/止损,0.8470,3450.48,0.8470,-0.0273,1.9167,0.009320,1
DOT-USDT-SWAP,多,2025-09-18 12:00:00,4.54045400,2025-09-18 19:00:00,4.56154380,897.349286,14.02,0.0010,4.90,移动止盈/止损,0.3022,3464.51,0.3022,-0.0263,0.2917,0.001042,0
DOT-USDT-SWAP,多,2025-09-19 00:00:00,4.80048000,2025-09-19 02:00:00,4.68353160,654.566103,-80.28,-0.0059,3.72,移动止盈/止损,0.2324,3384.23,0.2324,-0.0321,0.0833,-0.005998,0
AVAX-USDT-SWAP,多,2025-09-18 20:00:00,34.81548120,2025-09-19 03:00:00,34.77152250,86.402668,-7.41,-0.0006,3.61,移动止盈/止损,0.2234,3376.83,0.2234,-0.0327,0.2917,-0.000554,0
NEAR-USDT-SWAP,多,2025-09-18 20:00:00,3.20832080,2025-09-20 01:00:00,3.11368860,746.046509,-73.43,-0.0055,2.83,移动止盈/止损,0.1778,3303.40,0.1778,-0.0380,1.2083,-0.005520,0
ZEC-USDT-SWAP,多,2025-09-24 16:00:00,59.59323732,2025-09-25 01:00:00,58.33416600,67.340555,-89.55,-0.0067,4.76,移动止盈/止损,0.3063,3213.85,0.3063,-0.0445,0.3750,-0.006777,1
ZEN-USDT-SWAP,多,2025-09-29 08:00:00,7.18971890,2025-09-30 02:00:00,7.55824410,260.596533,93.73,0.0071,2.31,移动止盈/止损,0.1418,3307.58,0.1418,-0.0377,0.7500,0.007043,0
ZEN-USDT-SWAP,多,2025-09-30 04:00:00,7.62376230,2025-09-30 12:00:00,7.24827510,224.831542,-86.43,-0.0065,2.01,移动止盈/止损,0.1288,3221.15,0.1288,-0.0439,0.3333,-0.006537,0
APT-USDT-SWAP,多,2025-10-03 12:00:00,5.37890661,2025-10-04 08:00:00,5.45215473,1147.921379,76.62,0.0058,7.46,移动止盈/止损,0.4693,3297.77,0.4693,-0.0384,0.8333,0.005762,1
BNB-USDT-SWAP,多,2025-10-03 20:00:00,1182.41823000,2025-10-05 20:00:00,1156.82430600,1.925718,-51.99,-0.0039,2.70,对齐失效,0.1717,3245.78,0.1717,-0.0421,2.0000,-0.003925,0
BNB-USDT-SWAP,多,2025-10-06 12:00:00,1236.85367300,2025-10-07 01:00:00,1213.46864100,3.304691,-82.14,-0.0062,4.86,移动止盈/止损,0.3086,3163.64,0.3086,-0.0481,0.5417,-0.006240,0
ZEC-USDT-SWAP,多,2025-10-09 12:00:00,221.67445305,2025-10-10 08:00:00,231.14688300,14.715496,135.39,0.0103,4.00,移动止盈/止损,0.2619,3299.04,0.2619,-0.0383,0.8333,0.010181,2
TAO-USDT-SWAP,多,2025-10-13 04:00:00,422.54555634,2025-10-14 02:00:00,424.40755500,6.525054,8.83,0.0007,3.32,移动止盈/止损,0.2120,3307.87,0.2120,-0.0377,0.9167,0.000664,1
LINK-USDT-SWAP,多,2025-10-20 12:00:00,19.00590040,2025-10-21 02:00:00,18.38116170,144.322993,-93.40,-0.0070,3.24,移动止盈/止损,0.2061,3214.47,0.2061,-0.0444,0.5833,-0.007068,0
